$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0,0.1,0.0180900000000000,0,N,False
1.0,0.1,0.150000000000000,0,C,False
1.0,0.1,48.0000000000000,1,H,True
1.0,0.1,117.818181818182,1,S,True
1.0,0.1,0.0180900000000000,1,N,True
1.0,0.1,0.00272727272727273,1,C,True
1.0,0.1,109.450909090909,2,H,False
1.0,0.1,73.0691789016809,2,S,False
1.0,0.1,0.00272727272727273,2,N,False
1.0,0.1,0.00752595413724081,2,C,False
1.0,0.1,109.450909090909,3,H,True
1.0,0.1,21.4920345468541,3,S,True
1.0,0.1,0.00272727272727273,3,N,True
1.0,0.1,0.0358000789206104,3,C,True
1.0357142857142858,0.001,,0,H,False
1.0357142857142858,0.001,,0,S,False
1.0357142857142858,0.001,,0,N,False
1.0357142857142858,0.001,,0,C,False
1.0357142857142858,0.001,,1,H,False
1.0357142857142858,0.001,,1,S,False
1.0357142857142858,0.001,,1,N,False
1.0357142857142858,0.001,,1,C,False
1.0357142857142858,0.001,,2,H,False
1.0357142857142858,0.001,,2,S,False
1.0357142857142858,0.001,,2,N,False
1.0357142857142858,0.001,,2,C,False
1.0357142857142858,0.001,,3,H,False
1.0357142857142858,0.001,,3,S,False
1.0357142857142858,0.001,,3,N,False
1.0357142857142858,0.001,,3,C,False
1.0357142857142858,0.008071428571428571,,0,H,False
1.0357142857142858,0.008071428571428571,,0,S,False
1.0357142857142858,0.008071428571428571,,0,N,False
1.0357142857142858,0.008071428571428571,,0,C,False
1.0357142857142858,0.008071428571428571,,1,H,False
1.0357142857142858,0.008071428571428571,,1,S,False
